date,habit,completed,mood
2025-10-25,Water Intake,True,😐 Neutral
2025-10-25,Exercise,True,😐 Neutral
2025-10-25,Meditation,False,😐 Neutral
2025-10-25,Reading,True,😐 Neutral
2025-10-25,Journaling,False,😐 Neutral
2025-10-26,Water Intake,True,😊 Happy
2025-10-26,Exercise,False,😊 Happy
2025-10-26,Meditation,True,😊 Happy
2025-10-26,Reading,True,😊 Happy
2025-10-26,Journaling,True,😊 Happy
2025-10-26,Water Intake,True,😊 Happy
2025-10-26,Exercise,True,😊 Happy
2025-10-26,Meditation,False,😊 Happy
2025-10-26,Reading,True,😊 Happy
2025-10-26,Journaling,False,😊 Happy
2025-10-26,Water Intake,True,😊 Happy
2025-10-26,Exercise,True,😊 Happy
2025-10-26,Meditation,False,😊 Happy
2025-10-26,Reading,True,😊 Happy
2025-10-26,Journaling,False,😊 Happy
